Gene	Chromo	Start	Finish	Function	ArabidopsisID	SunflowerID	AgravTajimaD	GravTajimaD	D01TajimaD	H01TajimaD	D03TajimaD	H02TajimaD	D04TajimaD	H05TajimaD	AgravGravOutlier	AgravGravOutlierStringent	D01H01outlier	D01H01outlierStringent	D03H02outlier	D03H02outlierStringent	D04H05outlier	D04H05outlierStringent	SummaryOutlierGenes	SummaryOutlierGenesStringent	ParallelGenes	ParallelGenesStringent	ParallelArchitectureGenes	ParallelArchitectureGenesStringent
YUC11_3	tig00259851	3593	5089	Biosynthesis	AT1G21430	XP_022030808.1	-1.187489	-1.591681	-1.211639	-0.970429	-0.196782	-0.345662	-0.270199	-0.20895	0	0	0	0	1	0	0	0	1	0	0	0	0	0
YUC11_4	tig01931002	6671	8031	Biosynthesis	AT1G21430	XP_022030808.1	-1.531808	-1.386871	-1.585766	-1.015973	0.018603	-0.458457	-0.631971	-0.270488	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YUC11_5	tig01938543	134817	136193	Biosynthesis	AT1G21430	XP_022030808.1	-1.253831	-1.221451	-1.855663	-1.495404	-0.961543	-1.323824	-1.270845	-0.839674	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YUC11_6	tig01940053	3897	5260	Biosynthesis	AT1G21430	XP_022030808.1	-1.92148	-1.960232	-2.101569	-1.597432	-0.868419	-1.197864	-0.657977	-0.755345	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YUC2	tig00121840	14755	16893	Biosynthesis	AT4G13260	XP_021996626.1	-1.049352	-1.08221	-0.84215	-1.060214	-0.854142	-1.117541	0.051016	-0.08814	1	0	1	0	0	0	0	0	1	0	0	0	0	0
YUC3	tig00045646	7626	42132	Biosynthesis	AT1G04610	XP_022026725.1	-0.940029	-0.924207	-1.152218	-0.568696	0.255079	-0.24709	-0.413607	0.116911	1	0	1	0	1	1	1	0	3	1	1	0	1	0
YUC4_1	tig00246381	41462	42916	Biosynthesis	AT5G11320	XP_021994810.1	-0.839807	-0.813445	-1.807396	-1.070218	0.434101	-0.529776	-0.812948	-0.135119	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YUC4_2	tig00259850	22275	23821	Biosynthesis	AT5G11320	XP_021994810.1	-1.075132	-1.377183	-1.388472	-0.743113	0.159732	-0.156194	-0.543377	-0.106049	1	0	1	0	0	0	0	0	1	0	0	0	0	0
YUC5	tig00079144	22828	25367	Biosynthesis	AT5G43890	XP_022034592.1	-0.628936	-0.545767	-1.610264	-1.064223	0.715735	-0.612193	-0.060615	0.360932	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YUC6	tig00039653	8552	10004	Biosynthesis	AT5G25620	XP_021986818.1	-1.210874	-1.259655	-1.834392	-0.973411	0.033326	-0.952914	0.374637	-0.487732	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YUC7	tig00260265	49529	53535	Biosynthesis	AT2G33230	XP_022001611.1	2.36336	2.144839	1.463364	1.934346	2.713376	2.368421	2.11044	2.06294	0	0	0	0	1	0	0	0	1	0	0	0	0	0
YUC8	tig00090654	10031	11453	Biosynthesis	AT4G28720	XP_021985221.1	0.981311	0.904062	0.664749	0.8733	1.297405	1.15418	1.928863	1.32303	1	0	0	0	0	0	0	0	0	0	0	0	0	0
YUC9	tig01935708	4131	10920	Biosynthesis	AT1G04180	XP_022034657.1	-1.288462	-1.267263	-0.863274	-0.582899	0.29604	-0.619217	0.030588	0.175028	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ZAT6	tig00250569	13724	14377	Biosynthesis	AT5G04340	XP_021983471.1	2.025575	2.245141	0.003425	2.079851	3.031127	2.782716	2.762576	2.578632	0	0	0	0	0	0	1	1	1	1	0	0	0	0
DAO1	tig01930277	2727	22887	Conjugation	AT1G14130	XP_021994002.1	-0.777549	-0.749447	-1.588501	-0.453862	0.375294	-0.244835	-0.589768	-0.202685	0	0	1	0	1	1	0	0	2	1	0	0	0	0
ECH2	tig00248999	20084	25845	Conjugation	AT1G76150	XP_022008673.1	2.333831	1.871403	0.71497	2.485568	3.185117	3.120001	3.008934	2.86895	1	0	0	0	1	0	1	0	2	0	0	0	0	0
GH3.1	tig00148133	7865	9848	Conjugation	AT2G14960	XP_021987992.1	3.167795	3.114014	1.746552	2.621945	3.080595	3.345782	3.067743	3.024822	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH3.15_1	tig00061967	11677	21852	Conjugation	AT5G13370	XP_022039465.1	0.314331	0.47546	-0.567953	-0.947676	0.401192	0.449077	-0.091258	0.510606	0	0	1	1	1	1	0	0	2	2	0	0	0	0
GH3.15_2	tig00254103	23793	25838	Conjugation	AT5G13370	XP_022039465.1	3.0421	2.80421	1.594872	2.779792	3.142632	3.414932	2.831707	2.916497	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GH3.17	tig00050583	10124	12765	Conjugation	AT1G28130	XP_022033458.1	-1.517231	-1.549188	-2.358662	-1.7566	-0.230074	-1.269483	-1.282856	-0.625828	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH3.2	tig00077080	8210	10465	Conjugation	AT4G37390	XP_021983258.1	2.723164	2.943815	1.590446	2.704374	3.376914	3.152879	3.00461	2.648224	0	0	1	0	0	0	0	0	1	0	0	0	0	0
GH3.3	tig00058443	4748	6884	Conjugation	AT2G23170	XP_022001485.1	-1.219976	-1.202893	-2.142563	0.159887	-0.713811	-1.090867	-0.8177	-0.763996	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GH3.4_1	tig00022850	202	2554	Conjugation	AT1G59500	XP_022005491.1	-0.817611	-0.926481	-2.101369	-1.103929	1.192862	-0.691802	-0.143252	0.086762	1	0	1	0	1	1	0	0	2	1	0	0	0	0
GH3.4_2	tig00100969	1969	4145	Conjugation	AT1G59500	XP_022005491.1	-1.356386	-1.548881	-1.489437	-1.311657	-0.291057	-0.741407	-0.669107	-0.224323	1	0	0	0	1	0	1	0	2	0	0	0	0	0
GH3.5	tig00261663	11902	14045	Conjugation	AT4G27260	XP_022001455.1	-1.554842	-1.615522	-1.468922	-1.613285	-0.035769	-0.589492	-0.794928	-0.795887	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH3.6	tig00000700	25123	27208	Conjugation	AT5G54510	XP_021993185.1	2.005014	2.278265	1.044214	1.395237	3.194801	2.85747	2.736363	2.430525	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH3.9	tig01934478	3985	6634	Conjugation	AT2G47750	XP_021968963.1	-1.63192	-1.630173	-1.341263	-0.985034	-0.11899	-1.115749	-0.87564	-0.713476	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IAMT1_1	tig01928650	198235	199249	Conjugation	AT5G55250	XP_021993317.1	-0.004351	-0.17672	-1.854208	-0.888304	0.992946	-1.487821	0.576176	0.124995	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IAMT1_2	tig00250798	91173	143526	Conjugation	AT5G55250	XP_021993317.1	-1.08408	-0.972459	-1.097662	-1.095095	0.178871	-0.259782	-0.010639	0.158126	1	1	1	1	1	1	1	1	3	3	1	1	1	1
IBR1_1	tig00002025	3704	4451	Conjugation	AT4G05530	XP_021987438.1	-0.874837	-1.09257	-2.077286	0.269506	-0.444992	-1.196198	0.138676	0.399143	0	0	0	0	0	0	1	0	1	0	0	0	0	0
IBR1_2	tig01934465	7318	8610	Conjugation	AT4G05530	XP_021987438.1	-1.87941	-2.200677	-2.306796	-1.484957	-1.460508	-1.034885	-0.455158	-0.416379	1	0	0	0	1	0	0	0	1	0	0	0	0	0
IBR10_1	tig00013396	66772	67479	Conjugation	AT4G14430	XP_022030032.1	-0.618564	-0.37859	-1.641032	-0.76639	-0.248844	-0.71654	-0.757852	0.03587	0	0	0	0	0	0	1	1	1	1	0	0	0	0
IBR10_2	tig00259434	46300	46986	Conjugation	AT4G14430	XP_022030032.1	0.824712	0.574985	-1.118613	-0.063274	1.705108	-0.370963	0.334722	0.402865	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IBR3_1	tig00008790	37410	41696	Conjugation	AT3G06810	XP_022023116.1	-1.143627	-1.235923	-2.253204	-0.942937	0.282423	-0.621653	-0.574738	-0.875126	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IBR3_2	tig01936130	3500	5075	Conjugation	AT3G06810	XP_022023116.1	-1.03619	-1.095628	-0.928898	-1.045536	0.360365	-1.005815	-0.254545	-0.513194	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ILL1	tig00048243	26584	29378	Conjugation	AT5G56650	XP_021997101.1	1.64599	1.661862	0.421968	1.900252	3.001467	2.725215	2.103186	2.104104	0	0	1	0	0	0	1	0	2	0	0	0	0	0
ILL2	tig00254626	41287	43472	Conjugation	AT5G56660	XP_021982840.1	-0.21717	-0.47015	-0.795309	-1.222697	0.526884	-0.553039	-0.013594	-1.72937	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ILL3	tig00020598	62154	66387	Conjugation	AT5G54140	XP_022027178.1	-0.947334	-0.664734	-1.973904	-1.647242	-0.582209	-1.688734	-0.984745	-1.613229	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ILL4	tig00249433	39444	42097	Conjugation	AT1G51760	XP_021976128.1	-0.763874	-0.497658	-1.196964	-0.058213	0.543453	0.155404	-0.474984	-0.226718	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ILL6	tig00039254	20461	22945	Conjugation	AT1G44350	XP_021982841.1	-0.751126	-0.825211	-1.767003	-0.789525	0.389603	0.188586	-0.621987	-0.384346	0	0	1	0	1	1	0	0	2	1	0	0	0	0
ILR1_1	tig00017814	38063	40668	Conjugation	AT3G02875	XP_021989706.1	-1.754465	-1.805907	-1.641583	-1.643306	-1.005571	-1.678316	-1.326198	-1.5754	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ILR1_2	tig00246397	75057	77312	Conjugation	AT3G02875	XP_021989706.1	-1.191466	-0.998276	-1.378939	-1.16992	0.06619	0.058529	-0.995118	-1.489121	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ILR1_3	tig00252884	15825	18989	Conjugation	AT3G02875	XP_021989706.1	-0.907645	-0.834476	-1.660821	-0.406441	0.397455	-0.181241	0.155922	-0.513546	1	0	1	0	1	0	0	0	2	0	0	0	0	0
MES1	tig00246989	36012	78521	Conjugation	AT2G23620	XP_022011255.1	-0.636323	-0.659737	-0.895234	-0.715368	0.261973	0.018398	-0.092483	0.251797	1	1	1	1	1	0	1	1	3	2	1	0	1	0
MES16	tig00010599	15113	16107	Conjugation	AT4G16690	XP_021974104.1	-1.298725	-1.466746	-1.304916	-0.97433	0.893479	-0.594714	-0.253822	-0.269108	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MES17	tig00250996	23166	24160	Conjugation	AT3G10870	XP_021974105.1	-1.213226	-0.981743	-1.354349	-0.742662	0.099859	-0.687571	-0.261661	-0.077984	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MES18_1	tig00010584	53770	54798	Conjugation	AT5G58310	XP_021977206.1	-0.56062	-0.005928	-1.292173	-1.612794	0.120985	-0.066219	-0.717175	-0.599013	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MES18_2	tig00013081	11977	16487	Conjugation	AT5G58310	XP_021977206.1	0.001421	-0.128024	-0.736342	-0.046705	0.845144	0.816699	0.333336	0.301744	1	0	1	0	0	0	1	0	2	0	0	0	0	0
MES2_1	tig00031078	13486	15356	Conjugation	AT2G23600	XP_021997126.1	-0.939392	-0.277957	-1.017528	-0.281185	0.247692	-0.036096	0.852873	-0.47502	1	0	0	0	0	0	1	0	1	0	0	0	0	0
MES2_2	tig00261130	35447	37520	Conjugation	AT2G23600	XP_021997126.1	-0.898504	-1.1556	-1.467248	-1.048159	-0.163989	-1.022994	-0.882472	-0.880756	1	0	1	0	0	0	0	0	1	0	0	0	0	0
MES3	tig01929099	15736	16722	Conjugation	AT2G23610	XP_021998602.1	-1.984381	-1.6161	-2.334898	-0.737373	-1.76768	-2.199155	0.436585	-1.885401	0	0	0	0	0	0	1	0	1	0	0	0	0	0
MES7	tig01932475	4902	8280	Conjugation	AT2G23560	XP_022006262.1	-1.246517	-0.960193	-1.410499	-0.866634	0.312551	-0.383861	-0.233598	-0.10995	1	1	1	0	1	0	0	0	2	0	0	0	0	0
MES9_1	tig00015352	15508	19433	Conjugation	AT4G37150	XP_022011382.1	-0.818492	-0.870251	-0.603454	-0.420486	0.359246	0.389277	0.423061	0.021701	1	1	0	0	0	0	1	0	1	0	0	0	0	0
MES9_2	tig00068784	6772	12533	Conjugation	AT4G37150	XP_022011382.1	-1.291537	-1.334648	-1.028487	-1.033278	0.301963	-0.210112	0.035739	0.378448	0	0	1	1	0	0	0	0	1	1	0	0	0	0
PEX4	tig01930615	26070	28052	Conjugation	AT5G25760	XP_021970685.1	-1.146053	-1.21328	-1.891471	-1.269328	-0.215677	-1.352128	-1.244505	-1.56385	1	0	1	0	0	0	1	0	2	0	0	0	0	0
PEX5_1	tig00253943	17447	22699	Conjugation	AT5G56290	XP_022039624.1	-1.025847	-0.909784	-1.889066	-0.804213	0.48271	-0.727513	-0.856819	-0.42174	0	0	1	0	0	0	0	0	1	0	0	0	0	0
PEX5_2	tig01939252	18293	21688	Conjugation	AT5G56290	XP_022039624.1	-1.614204	-1.393308	-1.212697	-1.367111	-0.433401	-0.673102	-0.584887	-0.602703	0	0	1	0	0	0	0	0	1	0	0	0	0	0
PEX5_3	tig01939253	4971	5698	Conjugation	AT5G56290	XP_022039624.1	-1.164851	-1.072065	-1.587005	-0.658289	-0.349296	-0.942334	-0.893081	0.000118	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEX6_1	tig01928645	173459	174985	Conjugation	AT1G03000	XP_021994644.1	-2.047032	-1.924147	-1.271229	-1.756529	0.944077	-1.555185	-0.502524	-0.707512	0	0	0	0	1	0	0	0	1	0	0	0	0	0
PEX6_2	tig00254322	38460	45257	Conjugation	AT1G03000	XP_021994644.1	-0.863526	-1.020446	-2.073556	-0.997871	-1.947358	-2.376368	0.175573	0.223152	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEX7	tig00025216	5148	6092	Conjugation	AT1G29260	XP_022037653.1	-1.894495	-1.898775	-2.348275	-1.961809	-1.546279	-1.633683	-1.227128	-0.001921	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PXA1_1	tig00090994	169	12262	Conjugation	AT4G39850	XP_022029538.1	-1.181799	-1.333167	-1.455969	-0.971853	0.217763	-0.452155	-0.555815	-0.102677	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PXA1_2	tig01929813	45736	57465	Conjugation	AT4G39850	XP_022029538.1	-1.136298	-1.145476	-1.80012	-0.961019	-0.220512	-1.378775	-0.539815	-0.124266	1	0	0	0	0	0	0	0	0	0	0	0	0	0
UGT84B1	tig00003991	71143	72549	Conjugation	AT2G23260	XP_021988659.1	-0.866615	-0.47425	-0.864173	-0.048013	-0.484322	0.244429	-0.499991	-0.48676	1	0	0	0	1	0	0	0	1	0	0	0	0	0
ABCB1_1	tig01928645	26280	32417	Transport	AT2G36910	XP_022006000.1	-1.032868	-1.272541	-1.674631	-1.409466	0.179387	-0.572994	-1.097429	-0.422403	1	1	1	0	0	0	1	0	2	0	0	0	0	0
